id,Title,Trailer_Link,Image_Poster_Link,Description,Rating,Genre
33,Se7en,,,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",R,"[Crime, Drama, Mystery]"
34,The Silence of the Lambs,,,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",R,"[Crime, Drama, Thriller]"
35,Star Wars: Episode IV - A New Hope,,,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
36,Terminator 2: Judgment Day,,,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.",R,"[Action, Sci-Fi]"
37,The Green Mile,,,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",R,"[Crime, Drama, Fantasy]"
38,Spirited Away,,,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",PG,"[Animation, Adventure, Family]"
39,Saving Private Ryan,,,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",R,"[Drama, War]"
40,Star Wars: Episode I - The Phantom Menace,,,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
41,Star Wars: Episode II - Attack of the Clones,,,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
42,Star Wars: Episode III - Revenge of the Sith,,,"Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",PG-13,"[Action, Adventure, Fantasy, Sci-Fi]"
43,Star Wars: Episode VI - Return of the Jedi,,,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
44,Star Wars: Episode VII - The Force Awakens,,,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",PG-13,"[Action, Adventure, Fantasy, Sci-Fi]"
45,Star Wars: Episode VIII - The Last Jedi,,,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",PG-13,"[Action, Adventure, Fantasy, Sci-Fi]"
46,Star Wars: Episode IX - The Rise of Skywalker,,,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",PG-13,"[Action, Adventure, Fantasy, Sci-Fi]"
47,It's a Wonderful Life,,,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,PG,"[Drama, Family, Fantasy]"
48,Gladiator,,,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,R,"[Action, Adventure, Drama]"
49,Howl's Moving Castle,,,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",PG,"[Animation, Adventure, Family]"
50,My Neighbor Totoro,,,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",G,"[Animation, Comedy, Family]"
